"adj.P.Val"	"P.Value"	"AveExpr"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.ID"	"Gene.title"
0.353439913604256	0.017259415974615	11.0464689072165	2.62149207942928	-3.0572506914605	0.173974996582864	"TMED10"	"10972"	"transmembrane p24 trafficking protein 10"
0.360380452891577	0.0183449941005992	8.62208315072408	-2.59253262014568	-3.10857405203758	-0.165878968845368	"TMED9"	"54732"	"transmembrane p24 trafficking protein 9"
0.47079337578865	0.0571275504631834	7.86504118080666	2.03191424014179	-4.04816884334696	0.175557065336516	"TMED5"	"50999"	"transmembrane p24 trafficking protein 5"
0.553295307807107	0.114474034819902	7.5386650128733	1.65847765717213	-4.598330218783	0.10814876083282	"TMED3"	"23423"	"transmembrane p24 trafficking protein 3"
0.5907647470436	0.143561808956936	8.7181579389633	1.52906200862343	-4.77081957539912	0.191427197347696	"TMED2"	"10959"	"transmembrane p24 trafficking protein 2"
0.734593849320189	0.319742766834985	9.27826432727093	-1.02313731453447	-5.3364407758834	-0.0782956834221658	"TMED10"	"10972"	"transmembrane p24 trafficking protein 10"
0.775520072289137	0.3887272259144	8.04743493538648	0.883195408460225	-5.45849600062833	0.136164010555695	"TMED2"	"10959"	"transmembrane p24 trafficking protein 2"
0.80595222734644	0.448832577656773	8.3989981856684	-0.774181502216256	-5.54223211245049	-0.0576841171060725	"TMED9"	"54732"	"transmembrane p24 trafficking protein 9"
0.813178387904592	0.463723972539768	9.49780691001998	-0.748609332460411	-5.56039509200784	-0.051720140653762	"TMED1"	"11018"	"transmembrane p24 trafficking protein 1"
0.831797950788658	0.510242849452861	10.9313639800797	0.671743273199059	-5.61153855264722	0.0609259467291814	"TMED2"	"10959"	"transmembrane p24 trafficking protein 2"
0.939352444188596	0.789634475045478	10.5480402098821	-0.270771849707079	-5.7911378598384	-0.02539623213959	"TMED5"	"50999"	"transmembrane p24 trafficking protein 5"
