"adj.P.Val"	"P.Value"	"AveExpr"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.ID"	"Gene.title"
0.999947866409012	3.17175349523959e-05	0.0864820525	7.52183833840747	-3.74798769297098	1.48967789	"PTX3"	"5806"	"pentraxin 3"
0.999947866409012	4.4300812758461e-05	0.12520955375	7.21389861158153	-3.76068542988442	1.0678875775	"LOC729680"	"729680"	"uncharacterized LOC729680"
0.999947866409012	9.85475830040187e-05	0.00724229749999998	-6.51396455637649	-3.79478087470051	-0.87892026	"TMOD3"	"29766"	"tropomodulin 3"
0.999947866409012	0.000111459865238234	0.08035879625	6.41054158016185	-3.80053346652223	0.8927665875	"GRAP"	"10750"	"GRB2-related adaptor protein"
0.999947866409012	0.000116071618013273	0.07621371875	-6.37672956765406	-3.80245873705552	-0.9199022075	"KIAA1804"	"84451"	"mixed lineage kinase 4"
0.999947866409012	0.000126798810748724	-0.2043301125	-6.30342298174522	-3.80671047282704	-2.59736161	"PTGS2"	"5743"	"prostaglandin-endoperoxide synthase 2"
0.999947866409012	0.000235856471275763	-0.0236801375	-5.80407997913496	-3.8387461928816	-1.725885925	"FAM83H"	"286077"	"family with sequence similarity 83 member H"
0.999947866409012	0.000236014710591166	0.0871255875	5.80355436404965	-3.83878296739308	3.556428995	"HP"	"3240"	"haptoglobin"
0.999947866409012	0.000323200553971262	0.0754323575	-5.56034510800055	-3.85656047754021	-0.821907635	""	""	""
0.999947866409012	0.000334862208244457	-0.1174118225	-5.53331237886145	-3.85863379479801	-1.205002025	"DCAF1"	"9730"	"DDB1 and CUL4 associated factor 1"
0.999947866409012	0.000362202406705266	0.03384739125	-5.47373086593637	-3.86327536853142	-1.0240820675	""	""	""
0.999947866409012	0.000412349008780574	0.1141166625	5.37610883707889	-3.87109952379239	1.122045515	"TXNL4B"	"54957"	"thioredoxin like 4B"
0.999947866409012	0.000425140157166209	0.05396778125	-5.35325542326775	-3.87297143521928	-0.9006077075	"CRNDE"	"643911"	"colorectal neoplasia differentially expressed (non-protein coding)"
0.999947866409012	0.000520792518087936	0.06882560375	-5.20282371141506	-3.88568851356076	-0.8513026275	"TGFBR1"	"7046"	"transforming growth factor beta receptor 1"
0.999947866409012	0.000531271444879289	-0.05893706875	5.18818371874224	-3.88696370790268	1.0995438025	"ERGIC1"	"57222"	"endoplasmic reticulum-golgi intermediate compartment 1"
0.999947866409012	0.000590780078676063	0.06350493125	-5.11053671967684	-3.89384204471238	-1.0473570725	"SLC7A5"	"8140"	"solute carrier family 7 member 5"
